baths,balcony,no_of_rooms,flat_type,city,total_area_scaled,price_scaled
3,0,3,0,0,0.5038167938931297,0.625337493250135
3,1,2,0,0,0.366412213740458,0.2999940001199976
3,0,2,0,0,0.35877862595419846,0.249682506349873
3,1,2,0,0,0.33587786259541985,0.375092498150037
3,1,3,0,0,0.648854961832061,0.45155346893062137
3,0,2,0,0,0.32061068702290074,0.2624947501049979
2,0,1,0,0,0.20419847328244276,0.18758062338753226
2,1,1,0,0,0.2217557251908397,0.18373757524849502
3,0,3,0,0,0.5511450381679389,0.8122337553248935
3,1,2,0,0,0.3351145038167939,0.7188481230375392
3,0,2,0,0,0.3603053435114504,0.30620387592248155
3,0,3,0,0,0.5026717557251908,0.3564059968800624
3,0,2,0,0,0.31297709923664124,0.15630937381252374
3,0,3,0,0,0.5977099236641221,0.6753239935201296
4,1,4,0,0,0.8969465648854962,0.6242062658746825
3,1,2,0,0,0.33129770992366414,0.250087498250035
3,1,2,0,0,0.3534351145038168,0.5561676266474671
3,1,2,0,0,0.41603053435114506,0.39375462490750185
3,1,3,0,0,0.4988549618320611,0.5619987600247995
2,1,1,0,0,0.23091603053435114,0.156162501749965
3,1,2,0,0,0.36908396946564886,0.3094338113237735
2,0,1,0,0,0.22366412213740458,0.18129012419751606
3,0,2,0,0,0.39618320610687024,0.2809031319373613
3,0,3,0,0,0.5725190839694656,0.4378037439251215
3,1,3,0,0,0.43244274809160305,0.2874930001399972
3,1,2,0,0,0.4198473282442748,0.5596138077238455
3,0,3,0,0,0.39083969465648855,0.28095438091238173
3,1,3,0,0,0.5755725190839694,0.3374082518349633
3,1,3,0,0,0.6801526717557251,0.5434991300173997
3,1,2,0,0,0.3435114503816794,0.4376162476750465
2,1,1,0,0,0.20496183206106872,0.1624392512149757
3,1,2,0,0,0.49312977099236643,0.5620087598248035
3,0,3,0,0,0.4183206106870229,0.3376982460350793
2,0,1,0,0,0.22366412213740458,0.18129012419751606
3,0,2,0,0,0.42442748091603055,0.5622437551248975
2,1,1,0,0,0.21374045801526717,0.15504689906201877
3,1,2,0,0,0.3267175572519084,0.23111537769244614
3,1,2,0,0,0.4118320610687023,0.4059656306873862
3,1,2,0,0,0.4198473282442748,0.750047499050019
3,1,3,0,0,0.5465648854961832,0.3499380012399752
3,1,2,0,0,0.35572519083969467,0.2813418731625367
3,1,3,0,0,0.5725190839694656,0.2812443751124977
3,1,2,0,0,0.4580152671755725,0.46874062518749626
2,1,1,0,0,0.22519083969465647,0.1998585028299434
3,1,4,0,0,0.5992366412213741,0.5308456330873382
3,0,2,0,0,0.3083969465648855,0.2252254954900902
3,1,3,0,0,0.6038167938931298,0.3124387512249755
3,1,3,0,0,0.5152671755725191,0.9998237535249295
3,1,3,0,0,0.5343511450381679,0.40599188016239673
3,0,2,0,0,0.36259541984732824,0.2000897482050359
3,1,2,0,0,0.3244274809160305,0.34371187576248474
3,0,2,0,0,0.3282442748091603,0.3375432491350173
3,1,3,0,0,0.4961832061068702,0.493990120197596
2,0,2,0,0,0.29770992366412213,0.5313643727125458
3,0,2,0,0,0.4198473282442748,0.4186791264174716
3,0,3,0,0,0.45534351145038165,0.6188563728725426
3,0,3,0,0,0.5152671755725191,0.7500787484250315
3,1,2,0,0,0.4580152671755725,0.46874062518749626
3,0,2,0,0,0.3610687022900763,0.39376462470750584
3,1,3,0,0,0.4064885496183206,0.5497952540949181
2,1,1,0,0,0.22137404580152673,0.16783414331713364
3,0,2,0,0,0.44274809160305345,0.40526689466210675
3,1,2,0,0,0.4026717557251908,0.3626489970200596
3,1,2,0,0,0.3580152671755725,0.562202505949881
3,1,3,0,0,0.6534351145038167,0.7190256194876102
3,1,2,0,0,0.41412213740458015,0.1871587568248635
3,1,1,0,0,0.33587786259541985,0.17049659006819864
3,1,3,0,0,0.5534351145038168,0.437709995800084
2,0,1,0,0,0.1763358778625954,0.1749790004199916
3,0,2,0,0,0.3435114503816794,0.5810508789824204
3,0,2,0,0,0.3450381679389313,0.2813643727125458
3,0,2,0,0,0.35877862595419846,0.40595438091238173
2,1,2,0,0,0.30343511450381677,0.27327578448431034
3,1,2,0,0,0.37786259541984735,0.43126012479750403
2,0,2,0,0,0.24045801526717558,0.28113187736245276
3,1,3,0,0,0.4198473282442748,0.62492500149997
2,1,2,0,0,0.22824427480916032,0.18425506489870203
3,0,2,0,0,0.35038167938931297,0.4498110037799244
2,1,1,0,0,0.18702290076335878,0.09371062578748425
3,1,3,0,0,0.683587786259542,0.81264999700006
2,0,1,1,0,0.19083969465648856,0.1124977500449991
3,0,3,0,0,0.5770992366412214,0.4876102477950441
3,1,2,0,0,0.36908396946564886,0.3027858192836143
3,1,2,0,0,0.6370229007633588,0.4495778834423311
3,0,2,0,0,0.4064885496183206,0.2249767504649907
3,0,2,0,0,0.3816793893129771,0.4499910001799964
2,1,1,0,0,0.24427480916030533,0.10639787204255916
3,0,2,0,0,0.366412213740458,0.36539269214615705
3,1,2,0,0,0.44580152671755724,0.36572268554628906
2,0,2,0,0,0.2912213740458015,0.249877502449951
3,0,2,0,0,0.3190839694656489,0.2810993780124397
2,0,2,0,0,0.19770992366412213,0.252519949601008
2,1,2,0,0,0.2366412213740458,0.3499055018899622
3,1,2,0,0,0.3816793893129771,0.1874962500749985
2,1,2,0,0,0.21374045801526717,0.28139437211255774
3,1,2,0,0,0.31717557251908396,0.28149562008759826
3,1,2,0,0,0.32557251908396945,0.312405001899962
3,1,2,0,0,0.3793893129770992,0.375227495450091
3,1,2,0,0,0.6870229007633588,0.6873612527749445
2,1,2,0,0,0.20877862595419847,0.25640112197756043
2,0,2,0,0,0.2786259541984733,0.28104437911241775
3,1,2,0,0,0.3511450381679389,0.20642087158256836
3,0,4,0,0,0.5343511450381679,0.7183606327873443
2,0,2,0,0,0.2545801526717557,0.2000959980800384
3,0,2,0,0,0.3816793893129771,0.24374512509749804
3,1,2,0,0,0.3244274809160305,0.34052443951120975
3,1,2,0,0,0.36297709923664123,0.2811337523249535
3,1,3,0,0,0.5267175572519084,0.48126537469250613
3,0,3,0,0,0.45648854961832064,0.6876862462750745
2,1,2,0,0,0.2633587786259542,0.22812668746625067
3,0,2,0,0,0.3748091603053435,0.3749937501249975
2,0,2,0,0,0.22900763358778625,0.22799544009119818
2,0,2,0,0,0.29389312977099236,0.1876837463250735
3,1,2,0,0,0.32061068702290074,0.24674506509869804
3,1,3,0,0,0.6297709923664122,0.24337013259734805
3,1,3,0,0,0.5114503816793893,0.9564058718825623
4,1,4,0,0,0.8519083969465648,0.7811843763124737
4,1,4,0,0,0.8080152671755725,0.8745681336373272
3,0,3,0,0,0.5442748091603054,0.5908869322613548
3,1,2,0,0,0.42786259541984734,0.37482687846243073
3,0,2,0,0,0.4812977099236641,0.4184860052798944
3,1,3,0,0,0.6446564885496183,0.8254822403551929
3,0,2,0,0,0.3381679389312977,0.28129937401251975
2,0,1,1,0,0.2366412213740458,0.28131937361252773
3,1,2,0,0,0.417175572519084,0.37502812443751127
3,0,2,0,0,0.39961832061068703,0.4371137577248455
3,1,3,0,0,0.5950381679389313,0.5310237545249095
3,0,2,0,0,0.32557251908396945,0.312405001899962
3,0,3,0,0,0.5026717557251908,0.32512787244255115
2,0,1,0,0,0.23587786259541985,0.3248297534049319
2,1,2,0,0,0.23053435114503817,0.18119637607247854
3,0,2,0,0,0.3190839694656489,0.2372102557948841
3,1,1,0,0,0.3851145038167939,0.44962663246735063
2,1,1,1,0,0.16221374045801526,0.2937753744925102
2,0,2,0,0,0.27137404580152674,0.2812837493250135
3,1,3,0,0,0.5896946564885496,0.78117500149997
3,0,3,0,0,0.5919847328244274,0.5525326993460131
3,0,3,0,0,0.516030534351145,0.500229995400092
2,1,2,0,0,0.27137404580152674,0.2812837493250135
2,0,2,0,0,0.27137404580152674,0.2812837493250135
3,0,2,0,0,0.366793893129771,0.44985912781744364
2,1,1,0,0,0.18396946564885497,0.1500194996100078
3,0,2,0,0,0.39580152671755725,0.4497897542049159
4,1,4,0,0,0.8396946564885496,0.9377312453750924
3,1,2,0,0,0.4122137404580153,0.34356812863742725
3,0,2,0,0,0.3702290076335878,0.39344838103237934
2,0,1,0,0,0.2366412213740458,0.2623322533549329
2,1,1,0,0,0.21755725190839695,0.12183506329873403
3,1,2,0,0,0.35877862595419846,0.34368062638747227
3,0,3,0,0,0.5713740458015267,0.6184357562848743
3,0,2,0,0,0.3763358778625954,0.2625172496550069
1,0,1,1,0,0.1347328244274809,0.12818056138877224
2,1,1,1,0,0.23396946564885496,0.16857162856742866
2,1,1,0,0,0.22709923664122136,0.14986262774744505
2,0,2,0,0,0.27099236641221375,0.2374015019699606
3,0,2,0,0,0.37404580152671757,0.7313103737925242
2,0,2,0,0,0.2480916030534351,0.3749612507749845
3,1,2,0,0,0.4122137404580153,0.4731655366892662
3,0,3,0,0,0.5343511450381679,0.46899062018759624
2,0,1,0,0,0.26717557251908397,0.2375577488450231
3,0,2,0,0,0.32061068702290074,0.34386812263754724
3,0,2,0,0,0.3057251908396947,0.20825583488330232
3,0,3,0,0,0.49236641221374045,0.5313081238375232
3,0,2,0,0,0.33396946564885494,0.21874562508749826
2,0,1,0,0,0.23206106870229007,0.3123537529249415
2,1,2,0,0,0.2480916030534351,0.1876837463250735
2,1,2,0,0,0.21412213740458017,0.31240062698746024
3,1,2,0,0,0.4770992366412214,0.40624187516249677
3,0,2,0,0,0.5725190839694656,0.250307493850123
2,1,2,0,0,0.2900763358778626,0.3001939961200776
3,1,2,0,0,0.4083969465648855,0.40592313153736925
2,0,1,0,0,0.1763358778625954,0.15476690466190676
3,0,2,0,0,0.3568702290076336,0.250107497850043
3,0,2,0,0,0.3301526717557252,0.3670770334593308
3,0,2,0,0,0.31679389312977096,0.250032499350013
3,0,3,0,0,0.5114503816793893,0.9061568768624627
3,0,3,0,0,0.4721374045801527,0.2752269954600908
3,0,2,0,0,0.3736641221374046,0.35610412791744167
2,0,1,0,0,0.21221374045801528,0.1998085038299234
3,1,2,0,0,0.32061068702290074,0.28139437211255774
3,0,3,0,0,0.40610687022900765,0.25601987960240796
3,0,2,0,0,0.35572519083969467,0.40599438011239775
3,0,2,0,0,0.37404580152671757,0.28113187736245276
3,0,2,0,0,0.34427480916030534,0.255937381252375
3,0,2,0,0,0.36221374045801524,0.2621560068798624
3,0,3,0,0,0.4751908396946565,0.4824278514429711
4,1,2,0,0,0.8473282442748091,0.40652936941261175
2,0,1,0,0,0.183206106870229,0.11549769004619907
3,0,2,0,0,0.3435114503816794,0.33130587388252236
3,0,3,0,0,0.5152671755725191,0.5374580008399832
3,0,3,0,0,0.4725190839694656,0.437160006799864
3,0,2,0,0,0.42251908396946564,0.3563084988300234
3,1,2,0,0,0.3465648854961832,0.34389812203755926
3,0,3,0,0,0.4770992366412214,0.46874062518749626
3,1,2,0,0,0.37404580152671757,0.3374807503849923
3,1,2,0,0,0.3152671755725191,0.4000857482850343
3,0,2,0,0,0.32061068702290074,0.4063418731625367
3,0,2,0,0,0.3435114503816794,0.2857442851142977
2,0,2,0,0,0.2633587786259542,0.21863937721245574
3,0,2,0,0,0.34923664122137404,0.33739950200995983
2,1,2,0,0,0.3053435114503817,0.28149437011259776
4,1,2,0,0,0.916030534351145,0.625487490250195
2,1,1,0,0,0.23206106870229007,0.2811943761124778
3,0,2,0,0,0.3435114503816794,0.2998065038699226
3,0,2,0,0,0.32061068702290074,0.34386812263754724
3,1,2,0,0,0.3969465648854962,0.4127417451650967
4,0,1,0,0,0.3053435114503817,0.1749965000699986
3,0,2,0,0,0.40076335877862596,0.4252414951700966
3,1,2,0,0,0.3435114503816794,0.6001754964900702
3,0,2,0,0,0.35916030534351145,0.4998962520749585
3,1,2,0,0,0.3137404580152672,0.2501912461750765
3,1,3,0,0,0.4580152671755725,0.3127437451250975
3,0,2,0,0,0.333587786259542,0.35614787704245915
3,0,2,0,0,0.3816793893129771,0.5249895002099958
3,1,3,0,0,0.4309160305343511,0.3499830003399932
3,1,2,0,0,0.3511450381679389,0.40651686966260675
2,1,2,0,0,0.2950381679389313,0.24977062958740825
3,1,2,0,0,0.34923664122137404,0.28135687286254274
3,0,2,0,0,0.32061068702290074,0.3501679966400672
4,1,2,0,0,0.916030534351145,0.20699586008279836
3,0,2,0,0,0.4396946564885496,0.6479870402591948
3,1,2,0,0,0.366412213740458,0.6563868722625548
3,1,2,0,0,0.366412213740458,0.6563868722625548
3,0,2,0,0,0.32633587786259544,0.3435962530749385
3,1,2,0,0,0.33969465648854963,0.3437556248875023
3,0,2,0,0,0.5209923664122137,0.7183168836623267
3,1,2,0,0,0.38549618320610685,0.20830833383332334
3,1,3,0,0,0.6618320610687023,0.6870837583248335
3,1,3,0,0,0.6278625954198473,0.5376986210275795
3,1,3,0,0,0.7061068702290076,0.5815821183576328
3,0,2,0,0,0.31679389312977096,0.20645837083258334
3,1,3,0,0,0.5354961832061069,0.42527586948261037
3,0,2,0,0,0.3683206106870229,0.30638137237255253
3,0,2,0,0,0.34961832061068704,0.5312693746125078
3,0,2,0,0,0.31068702290076333,0.18111137777244454
3,0,3,0,0,0.5152671755725191,0.6184563808723825
3,0,3,0,0,0.3477099236641221,0.3194129867402652
3,1,2,0,0,0.34541984732824427,0.6187813743725126
3,0,2,0,0,0.3244274809160305,0.21887062258754825
3,1,2,0,0,0.4580152671755725,0.2872442551148977
3,1,2,0,0,0.4389312977099237,0.4621470070598588
3,0,2,0,0,0.3816793893129771,0.46874062518749626
3,0,2,0,0,0.31679389312977096,0.28115687686246277
3,1,2,0,0,0.32709923664122137,0.5559676306473871
3,0,2,0,0,0.4389312977099237,0.62529999400012
3,1,2,0,0,0.40458015267175573,0.2623447531049379
3,0,2,0,0,0.3603053435114504,0.74987500249995
3,0,2,0,0,0.4732824427480916,0.4370912581748365
3,0,2,0,0,0.35916030534351145,0.5310662536749265
3,1,2,0,0,0.4389312977099237,0.3378057438851223
2,1,2,0,0,0.2385496183206107,0.19374612507749844
3,0,2,0,0,0.4580152671755725,0.46874062518749626
2,1,2,0,0,0.27099236641221375,0.29375662486750265
3,0,2,0,0,0.3057251908396947,0.4875989980200396
3,1,2,0,0,0.3244274809160305,0.40639812203755926
2,0,2,0,0,0.2385496183206107,0.19530859382812343
3,0,3,0,0,0.5877862595419847,0.8123337533249335
3,1,3,0,0,0.5209923664122137,0.43764437211255774
3,1,2,0,0,0.4770992366412214,0.3999920001599968
3,0,2,0,0,0.32061068702290074,0.3249685006299874
2,1,1,0,0,0.18549618320610686,0.13121737565248695
3,0,2,0,0,0.5492366412213741,0.4748605027899442
3,0,2,0,0,0.4122137404580153,0.4373912521749565
3,1,2,0,0,0.4217557251908397,0.4495878832423352
3,1,3,0,0,0.499618320610687,0.4499597508049839
2,1,2,0,0,0.2965648854961832,0.2500918731625367
3,1,2,0,0,0.6259541984732825,0.4684156316873663
3,1,2,0,0,0.35,0.34386812263754724
2,0,1,0,0,0.18549618320610686,0.12817993640127198
2,0,2,0,0,0.2515267175572519,0.17504337413251736
3,1,2,0,0,0.38549618320610685,0.20830833383332334
3,1,3,0,0,0.7095419847328245,0.4995962580748385
3,0,2,0,0,0.3977099236641221,0.2123032539349213
2,0,1,0,0,0.1916030534351145,0.1750689986200276
3,1,3,0,0,0.40076335877862596,0.25593238135237295
3,0,2,0,0,0.31564885496183204,0.21243137637247256
2,1,2,0,0,0.2862595419847328,0.437335003299934
3,1,3,0,0,0.4198473282442748,0.5939881202375953
3,0,2,0,0,0.333206106870229,0.2624403761924762
3,0,3,0,0,0.3950381679389313,0.35642099658006837
3,1,2,0,0,0.4068702290076336,0.34377812443751127
3,0,3,0,0,0.46068702290076335,0.40584563308733823
3,1,2,0,0,0.38129770992366413,0.24350137997240054
3,1,2,0,0,0.4580152671755725,0.45599088018239636
2,0,1,0,0,0.2595419847328244,0.16872162556748865
3,0,2,0,0,0.31717557251908396,0.5936337523249535
3,1,3,0,0,0.3816793893129771,0.6187376252474951
2,1,3,0,0,0.2645038167938931,0.21482570348593027
3,0,2,0,0,0.31755725190839695,0.2625947481050379
3,0,3,0,0,0.5362595419847328,0.46890937181256376
3,0,2,0,0,0.3301526717557252,0.3184217565648687
3,0,2,0,0,0.35725190839694654,0.4375712485750285
3,1,2,0,0,0.4198473282442748,0.2935566288674227
